Country,Age
Afghanistan,61
Albania,77
Algeria,71
Angola,51
Antigua and Barbuda,76
Argentina,76
Armenia,74
Aruba,75
Australia,82
Austria,81
Azerbaijan,71
"Bahamas, The",75
Bahrain,77
Bangladesh,70
Barbados,75
Belarus,72
Belgium,80
Belize,74
Benin,59
Bermuda,79
Bhutan,68
Bolivia,67
Bosnia and Herzegovina,76
Botswana,47
Brazil,74
Brunei Darussalam,78
Bulgaria,74
Burkina Faso,56
Burundi,54
Cabo Verde,75
Cambodia,71
Cameroon,55
Canada,81
Central African Republic,49
Chad,51
Chile,80
China,75
Colombia,74
Comoros,61
"Congo, Dem. Rep.",50
"Congo, Rep.",58
Costa Rica,80
Cote d'Ivoire,50
Croatia,77
Cuba,79
Cyprus,80
Czech Republic,78
Denmark,80
Djibouti,61
Dominican Republic,73
Ecuador,76
"Egypt, Arab Rep.",71
El Salvador,72
Equatorial Guinea,53
Eritrea,62
Estonia,76
Ethiopia,63
Faeroe Islands,82
Fiji,70
Finland,81
France,83
French Polynesia,76
Gabon,63
"Gambia, The",59
Georgia,74
Germany,81
Ghana,61
Greece,81
Grenada,73
Guam,79
Guatemala,72
Guinea,56
Guinea-Bissau,54
Guyana,66
Haiti,63
Honduras,73
"Hong Kong SAR, China",83
Hungary,75
Iceland,83
India,66
Indonesia,71
"Iran, Islamic Rep.",74
Iraq,69
Ireland,81
Israel,82
Italy,83
Jamaica,73
Japan,83
Jordan,74
Kazakhstan,69
Kenya,61
Kiribati,69
"Korea, Dem. Rep.",70
"Korea, Rep.",81
Kosovo,70
Kuwait,74
Kyrgyz Republic,70
Lao PDR,68
Latvia,74
Lebanon,80
Lesotho,49
Liberia,60
Libya,75
Liechtenstein,82
Lithuania,74
Luxembourg,81
"Macao SAR, China",80
"Macedonia, FYR",75
Madagascar,64
Malawi,55
Malaysia,75
Maldives,78
Mali,55
Malta,81
Mauritania,61
Mauritius,74
Mexico,77
"Micronesia, Fed. Sts.",69
Moldova,69
Mongolia,67
Montenegro,75
Morocco,71
Mozambique,50
Myanmar,65
Namibia,64
Nepal,68
Netherlands,81
New Caledonia,76
New Zealand,81
Nicaragua,74
Niger,58
Nigeria,52
Norway,81
Oman,77
Pakistan,66
Panama,77
Papua New Guinea,62
Paraguay,72
Peru,75
Philippines,69
Poland,77
Portugal,80
Puerto Rico,79
Qatar,78
Romania,75
Russian Federation,70
Rwanda,63
Samoa,73
Sao Tome and Principe,66
Saudi Arabia,75
Senegal,63
Serbia,75
Seychelles,73
Sierra Leone,45
Singapore,82
Slovak Republic,76
Slovenia,80
Solomon Islands,68
Somalia,55
South Africa,56
South Sudan,55
Spain,82
Sri Lanka,74
St. Lucia,75
St. Martin (French part),79
St. Vincent and the Grenadines,72
Sudan,62
Suriname,71
Swaziland,49
Sweden,82
Switzerland,83
Syrian Arab Republic,75
Tajikistan,67
Tanzania,61
Thailand,74
Timor-Leste,67
Togo,56
Tonga,72
Trinidad and Tobago,70
Tunisia,75
Turkey,75
Turkmenistan,65
Uganda,59
Ukraine,71
United Arab Emirates,77
United Kingdom,82
United States,79
Uruguay,77
Uzbekistan,68
Vanuatu,71
"Venezuela, RB",74
Vietnam,76
Virgin Islands (U.S.),79
West Bank and Gaza,73
"Yemen, Rep.",63
Zambia,57
Zimbabwe,58
